réponse,label
"L'élancement λ = L_c / i où L_c est la longueur de flambement.",0
"Lambda = longueur de flambement / rayon de giration",1
"La longueur de flambement d'une poutre bi-articulée est égale à la longueur réelle.",0
"Pour une poutre rotulée aux deux bouts, longueur de flambement = longueur réelle",1
"La formule d'Euler pour le flambement est F_cr = π²EI / L_c².",0
"La charge critique d'Euler c'est pi²EI sur L_c²",1
"Le coefficient ω pour le calcul de la résistance au flambement est l'inverse de χ.",0
"Omega c'est 1/chi dans certaines méthodes de calcul",1
"La vérification de la stabilité d'un poteau s'effectue avec N_Ed / (χA f_y) ≤ 1.",0
"Pour un poteau, on vérifie N_sd / (chi A fy) < 1",1
"La section efficace d'une semelle comprimée est calculée avec le coefficient ρ.",0
"La largeur efficace de la semelle se calcule avec rho",1
"Le décalage de l'axe neutre e_0 est dû à l'effet de la section efficace.",0
"Quand on utilise la section efficace, l'axe neutre se décale",1
"Le moment résistant ultime est réduit par l'effet du voilement local.",0
"À cause du voilement, la résistance en flexion diminue",1
"La méthode de calcul des contraintes critiques de voilement est donnée dans l'EN 1993-1-5.",0
"Les contraintes critiques de voilement sont dans la norme EN 1993-1-5",1
"Le coefficient de Poisson ν est pris égal à 0.3 pour l'acier.",0
"Le coefficient de Poisson de l'acier vaut 0.3",1
"Le module de cisaillement G = E / [2(1+ν)].",0
"G = E sur 2(1+nu)",1
"La contrainte de comparaison de von Mises est σ_eq = √(σ_x² + σ_y² - σ_xσ_y + 3τ_xy²).",0
"La contrainte de von Mises est racine de (σx² + σy² - σxσy + 3τxy²)",1
"La limite élastique en cisaillement est f_y / √3 selon le critère de von Mises.",0
"La limite élastique en cisaillement vaut fy / racine de 3",1
"La résistance de calcul au cisaillement V_pl,Rd = A_v (f_y / √3) / γ_M0.",0
"V_pl,Rd = A_v * fy / (√3 * gamma_M0)",1
"Le paramètre λ̄_p pour le voilement local est λ̄_p = √(f_y / σ_cr).",0
"Lambda p = racine de (fy / sigma_cr)",1
"Le coefficient réducteur ρ = (λ̄_p - 0.22) / λ̄_p² pour λ̄_p > 0.673.",0
"Rho = (lambda_p - 0.22) / lambda_p² quand lambda_p > 0.673",1
"La largeur efficace b_eff = ρ * b pour les parois comprimées.",0
"Largeur efficace = rho fois largeur réelle",1
"La vérification d'une âme sous effort tranchant utilise le coefficient χ_w.",0
"Pour le cisaillement dans l'âme, on utilise chi_w",1
"La résistance au voilement par cisaillement V_bw,Rd = χ_w f_y h_w t_w / (√3 γ_M1).",0
"V_bw,Rd = chi_w * fy * h_w * t_w / (√3 * gamma_M1)",1
"Le coefficient χ_w dépend de l'élancement réduit λ̄_w.",0
"Chi_w dépend de lambda_w réduit",1
"Pour λ̄_w ≤ 0.83, χ_w = 1.0 pour les âmes non raidies.",0
"Si lambda_w ≤ 0.83, chi_w = 1",1
"La méthode post-critique est utilisée pour les âmes élancées.",0
"Pour les âmes minces, on utilise la méthode post-critique",1
"Les raidisseurs transversaux doivent avoir une rigidité minimale selon l'EN 1993-1-5.",0
"Les raidisseurs doivent être assez rigides selon la norme",1
"L'inertie minimale d'un raidisseur est I_st ≥ 0.75 h_w t_w³ pour les raidisseurs intermédiaires.",0
"L'inertie min du raidisseur est 0.75 * h_w * t_w³",1
"La vérification de l'interaction M-N s'effectue avec des courbes d'interaction.",0
"Pour flexion + compression, on utilise des courbes d'interaction",1
"Le paramètre μ pour l'interaction M-N est μ = (1 - N_Ed / N_pl,Rd) / (1 - 0.5a).",0
"Mu = (1 - N/N_pl) / (1 - 0.5a) pour l'interaction M-N",1
"La condition de résistance en interaction M-N est M_Ed ≤ M_N,Rd.",0
"On vérifie que M < M_N,Rd en présence d'effort normal",1
"La résistance réduite M_N,Rd = M_pl,Rd (1 - n) / (1 - 0.5a) pour n ≤ a.",0
"M_N,Rd = M_pl,Rd * (1 - n)/(1 - 0.5a) quand n < a",1
"Le paramètre n est le rapport N_Ed / N_pl,Rd.",0
"n = effort normal divisé par résistance plastique en compression",1
"Le paramètre a = (A - 2b t_f) / A pour les sections en I.",0
"a = (aire totale - aire des semelles) / aire totale",1
"La vérification des assemblages utilise le coefficient γ_M2 = 1.25.",0
"Pour les assemblages, gamma_M2 = 1.25",1
"La résistance de calcul d'un boulon en traction est F_t,Rd = k_2 f_u A_s / γ_M2.",0
"Résistance d'un boulon en traction = k2 * fu * As / gamma_M2",1
"Le coefficient k_2 vaut 0.9 pour les boulons ordinaires.",0
"k2 = 0.9 pour les boulons courants",1
"La résistance au poinçonnement des trous de boulons doit être vérifiée.",0
"Faut vérifier que les trous ne s'arrachent pas",1
"La distance minimale entre boulons est 2.2d où d est le diamètre nominal.",0
"Distance min entre boulons = 2.2 fois le diamètre",1
"La distance minimale au bord est 1.2d pour les boulons.",0
"Distance min au bord = 1.2 * diamètre du boulon",1
"La résistance au glissement d'un boulon précontraint est F_s,Rd = k_s n μ F_p,C / γ_M3.",0
"Pour un boulon précontraint, résistance au glissement = ks n mu Fpc / gamma_M3",1
"Le coefficient μ vaut 0.5 pour les surfaces sablées.",0
"Mu = 0.5 pour surfaces sablées",1
"La précontrainte F_p,C = 0.7 f_u A_s.",0
"Précontrainte = 0.7 * fu * As",1
"La résistance à la pression diamétrale est F_b,Rd = k_1 α_b f_u d t / γ_M2.",0
"Résistance à la pression diamétrale = k1 * alpha_b * fu * d * t / gamma_M2",1
"Le coefficient α_b = min(1, f_u / f_u,base, d_0 / (3d)).",0
"Alpha_b = min de plusieurs valeurs",1
"La résistance d'une soudure d'angle est fonction de la gorge et de la limite élastique.",0
"Résistance d'une soudure dépend de la gorge et de fy",1
"La contrainte dans une soudure d'angle doit satisfaire √(σ_⊥² + 3(τ_⊥² + τ_∥²)) ≤ f_u / (β_w γ_M2).",0
"Contrainte équivalente dans soudure = racine(sigma_perp² + 3(tau_perp² + tau_par²))",1
"Le coefficient β_w vaut 0.8 pour l'acier S235.",0
"Beta_w = 0.8 pour acier S235",1
"La longueur efficace d'une soudure d'angle est réduite pour les soudures longues.",0
"Pour les soudures longues, on réduit la longueur efficace",1
"La vérification des états limites de service concerne les déformations excessives.",0
"Les états limites de service vérifient les déformations",1
"La flèche maximale admissible est souvent L/250 pour les planchers.",0
"Flèche max typique = portée / 250",1
"Les combinaisons de charges pour les ELS sont différentes de celles pour les ELU.",0
"Les combinaisons ELS sont différentes des combinaisons ELU",1
"Le module d'élasticité E = 210000 MPa pour l'acier de construction.",0
"E = 210 000 MPa pour l'acier",1
"Le coefficient de dilatation thermique de l'acier est 12 × 10^{-6} /°C.",0
"Dilatation thermique de l'acier = 12e-6 par °C",1
"La méthode des éléments finis est utilisée pour l'analyse des structures complexes.",0
"Pour les structures complexes, on utilise souvent les éléments finis",1
"La matrice de rigidité élémentaire d'une poutre comporte des termes pour les déplacements et rotations.",0
"La matrice de rigidité d'une poutre a des termes pour translations et rotations",1
"L'analyse au second ordre prend en compte les effets des déformations sur les efforts.",0
"L'analyse au second ordre considère l'influence des déplacements sur les efforts",1
"Le coefficient amplificateur pour les effets du second ordre est 1 / (1 - N/N_cr).",0
"Amplificateur second ordre = 1 / (1 - N/N_cr)",1
"La charge critique de flambement N_cr = π² E I / L_c².",0
"N_cr = pi² E I / L_c²",1
"L'analyse géométriquement non linéaire est nécessaire pour les structures souples.",0
"Pour les structures flexibles, faut faire une analyse non linéaire géométrique",1
"La méthode de Newton-Raphson est utilisée pour résoudre les problèmes non linéaires.",0
"Newton-Raphson est une méthode pour résoudre les problèmes non linéaires",1
"Les conditions aux limites influencent significativement le comportement des structures.",0
"Les appuis ont un gros impact sur le comportement de la structure",1
"Un appui encastré empêche les rotations et les déplacements.",0
"Un encastrement bloque les rotations et les translations",1
"Un appui articulé permet la rotation mais bloque les déplacements.",0
"Un appui articulé laisse tourner mais pas bouger",1
"La méthode des forces est utilisée pour calculer les structures hyperstatiques.",0
"Pour les structures hyperstatiques, on utilise la méthode des forces",1
"L'équation de compatibilité des déplacements permet de résoudre les systèmes hyperstatiques.",0
"L'équation de compatibilité sert à résoudre les systèmes hyperstatiques",1
"Le théorème de Castigliano donne les déplacements par dérivation de l'énergie de déformation.",0
"Castigliano : déplacement = dérivée de l'énergie par rapport à la force",1
"L'énergie de déformation U = ∫ (N²/EA + M²/EI + V²/GA) dx.",0
"Énergie de déformation = intégrale de (N²/EA + M²/EI + V²/GA) dx",1
"Le théorème de réciprocité de Maxwell est utile pour les calculs d'influence.",0
"Maxwell : déplacement en i dû à une force en j = déplacement en j dû à une force en i",1
"La méthode de Cross est une méthode itérative pour le calcul des portiques.",0
"La méthode de Cross est itérative pour les portiques",1
"La distribution des moments dépend de la rigidité relative des éléments.",0
"La distribution des moments dépend des rigidités relatives",1
"Le facteur de distribution K = 4EI/L pour une poutre bi-encastrée.",0
"K = 4EI/L pour une poutre encastrée aux deux bouts",1
"Le facteur de transmission est 0.5 pour les nœuds rigides.",0
"Facteur de transmission = 0.5 pour les nœuds rigides",1
"L'analyse plastique permet de déterminer la charge ultime des structures hyperstatiques.",0
"L'analyse plastique donne la charge de rupture des structures hyperstatiques",1
"Le théorème statique donne une borne inférieure de la charge ultime.",0
"Le théorème statique donne une borne inférieure pour la charge limite",1
"Le théorème cinématique donne une borne supérieure de la charge ultime.",0
"Le théorème cinématique donne une borne supérieure pour la charge limite",1
"Une rotule plastique se forme là où le moment atteint M_pl.",0
"Rotule plastique = endroit où le moment atteint le moment plastique",1
"Le mécanisme de ruine est défini par la formation de rotules plastiques.",0
"La ruine se produit par formation de rotules plastiques",1
"Le coefficient de sécurité pour les charges est de 1.35 pour les charges permanentes.",0
"Gamma_G = 1.35 pour charges permanentes défavorables",1
"Le coefficient de sécurité pour les charges est de 1.5 pour les charges variables.",0
"Gamma_Q = 1.5 pour charges variables défavorables",1
"La combinaison fondamentale aux ELU est 1.35G + 1.5Q.",0
"Combinaison ELU de base = 1.35 G + 1.5 Q",1
"La combinaison accidentelle est G + A + ψ_1 Q.",0
"Combinaison accidentelle = G + A + psi1 Q",1
"Le coefficient ψ_1 vaut 0.7 pour les charges d'exploitation dans les bâtiments.",0
"Psi1 = 0.7 pour charges d'exploitation",1
"La flèche est calculée par intégration de la courbure.",0
"Flèche = intégrale double de la courbure",1
"La méthode de la charge unitaire permet de calculer les déplacements.",0
"Pour calculer un déplacement, on utilise la charge unitaire virtuelle",1
"Le déplacement δ = ∫ (m M / EI) dx où m est le moment virtuel.",0
"Déplacement = intégrale de (m * M / EI) dx",1
"Le théorème de la force unitaire est un cas particulier du théorème de Castigliano.",0
"La force unitaire est un cas particulier de Castigliano",1
"L'analyse dynamique nécessite la résolution d'équations différentielles.",0
"L'analyse dynamique implique des équations différentielles",1
"La fréquence propre d'une poutre bi-articulée est f = (π/2) √(EI/mL⁴).",0
"Fréquence propre d'une poutre simple = (pi/2) * racine(EI/mL⁴)",1
"L'amortissement critique est c_cr = 2√(k m).",0
"Amortissement critique = 2 * racine(raideur * masse)",1
"Le rapport d'amortissement ξ = c / c_cr.",0
"Xi = amortissement réel / amortissement critique",1
"La réponse sismique dépend du spectre de réponse du site.",0
"La réponse sismique dépend du spectre de réponse",1
"Les structures en acier ont un bon comportement sismique grâce à leur ductilité.",0
"L'acier est bien pour le sismique car ductile",1
"La ductilité est la capacité à se déformer plastiquement sans rupture.",0
"Ductilité = capacité à se déformer plastiquement sans casser",1
"Le facteur de comportement q reflète la capacité de dissipation d'énergie.",0
"Le facteur q reflète la capacité de dissipation d'énergie",1
"Pour les portiques contreventés, q = 4 est couramment utilisé.",0
"q = 4 pour les portiques contreventés",1
"L'analyse pushover permet d'évaluer la performance sismique des structures.",0
"L'analyse pushover donne la performance sismique",1
"La courbe de capacité est obtenue par analyse pushover.",0
"La courbe de capacité vient de l'analyse pushover",1
"Le point de performance est à l'intersection de la courbe de capacité et du spectre de demande.",0
"Point de performance = intersection courbe capacité et spectre demande",1
"La vérification au déversement est cruciale pour les poutres métalliques non maintenues.",0
"Le déversement est très important pour les poutres non maintenues",1
"Le voilement des âmes sous charges concentrées nécessite des vérifications spécifiques.",0
"Les charges concentrées sur l'âme nécessitent des vérifications particulières",1
"La longueur efficace pour les charges concentrées est fonction de la rigidité des semelles.",0
"Longueur efficace sous charge concentrée dépend de la rigidité des semelles",1
"Le coefficient m_1 = f_yf b_f / (f_yw t_w) pour le calcul de la résistance aux charges concentrées.",0
"m1 = fy_semelle * largeur_semelle / (fy_âme * épaisseur_âme)",1
"Le coefficient m_2 dépend de l'élancement de l'âme.",0
"m2 dépend de h_w / t_w",1
"La résistance à l'emboutissement est F_Rd = f_yw L_eff t_w / γ_M1.",0
"Résistance à l'emboutissement = fy_âme * L_eff * t_w / gamma_M1",1
"L'effet de l'effort tranchant sur la résistance en flexion est pris en compte par un critère d'interaction.",0
"L'interaction M-V réduit la résistance en flexion quand il y a du cisaillement",1
"La formule d'interaction est (M_Ed / M_v,Rd)^α + (V_Ed / V_pl,Rd)^β ≤ 1.",0
"Interaction M-V : (M/MvRd)^alpha + (V/VplRd)^beta ≤ 1",1
"Pour les sections en I, α = 2 et β = 2.",0
"Pour les IPE, alpha=2 et beta=2 dans l'interaction M-V",1
"La résistance réduite M_v,Rd = M_pl,Rd (1 - ρ) où ρ = (2V_Ed / V_pl,Rd - 1)^2.",0
"M_v,Rd = M_pl,Rd * (1 - rho) avec rho = (2V/Vpl - 1)²",1
"La résistance des assemblages est souvent le point faible des structures métalliques.",0
"Les assemblages sont souvent les points faibles en acier",1
"La rupture fragile doit être évitée par un choix approprié de nuance d'acier.",0
"Pour éviter la rupture fragile, faut choisir la bonne nuance d'acier",1
"La température de transition ductile-fragile est importante pour les constructions en zone froide.",0
"En région froide, faut faire attention à la température de transition",1
"Les soudures doivent être contrôlées par radiographie ou ultrasons.",0
"Les soudures doivent être contrôlées par RT ou UT",1
"La fatigue est un phénomène de rupture progressive sous chargement cyclique.",0
"La fatigue c'est la rupture sous charges répétées",1
"La résistance à la fatigue dépend du détail structural et du nombre de cycles.",0
"La résistance en fatigue dépend du type de détail et du nombre de cycles",1
"La courbe S-N donne la contrainte admissible en fonction du nombre de cycles.",0
"La courbe S-N donne la contrainte max en fonction du nombre de cycles",1
"La limite d'endurance est la contrainte en dessous de laquelle il n'y a pas de rupture en fatigue.",0
"Limite d'endurance = contrainte en dessous de laquelle pas de rupture en fatigue",1
"Pour les ponts, les vérifications de fatigue sont essentielles.",0
"Pour les ponts, faut absolument vérifier la fatigue",1
"Les coefficients de concentration de contrainte K_t sont importants pour les calculs de fatigue.",0
"Les Kt sont importants pour la fatigue",1
"La méthode du damage cumulé de Miner est utilisée pour les chargements variables.",0
"La règle de Miner sert pour les chargements variables en fatigue",1
"Le dommage cumulé D = Σ (n_i / N_i) ≤ 1.",0
"D = somme (n_i / N_i) doit être < 1",1
"La corrosion réduit la section utile des éléments métalliques.",0
"La corrosion diminue la section résistante",1
"La protection contre la corrosion est essentielle pour la durabilité.",0
"La protection contre la corrosion est importante pour la durée de vie",1
"Les peintures et les systèmes galvanisés sont des méthodes courantes de protection.",0
"On protège l'acier avec peinture ou galvanisation",1
"L'épaisseur de la peinture dépend de l'environnement corrosif.",0
"L'épaisseur de peinture dépend de l'agressivité de l'environnement",1
"La catégorie de corrosivité C3 correspond aux environnements urbains ou industriels modérés.",0
"C3 = environnements urbains ou industriels modérés",1
"Pour les structures en contact avec l'eau, on utilise des nuances d'acier résistant à la corrosion.",0
"Pour l'eau, on utilise des aciers résistant à la corrosion",1
"L'acier Corten est un acier auto-patinable utilisé en architecture.",0
"L'acier Corten fait une couche de protection qui arrête la corrosion",1
"La maintenance des structures métalliques comprend l'inspection et le re peinturage.",0
"La maintenance de l'acier c'est inspection et rep einture",1
"La durée de vie de conception est la période pendant laquelle la structure doit satisfaire aux exigences.",0
"Durée de vie de conception = temps où la structure doit être bonne",1
"Pour les ponts, la durée de vie de conception est souvent de 100 ans.",0
"Pour les ponts, durée de vie = 100 ans",1
"Les actions accidentelles incluent les chocs et les explosions.",0
"Les actions accidentelles : chocs, explosions",1
"La résistance aux actions accidentelles peut être assurée par un dimensionnement approprié.",0
"On peut dimensionner pour résister aux actions accidentelles",1
"L'analyse de risques est nécessaire pour les structures sensibles.",0
"Pour les structures sensibles, faut faire une analyse de risques",1
"La sécurité incendie des structures métalliques nécessite une protection thermique.",0
"Pour le feu, l'acier a besoin de protection thermique",1
"Les enduits ignifuges protègent l'acier en cas d'incendie.",0
"Les enduits ignifuges protègent l'acier du feu",1
"La température critique de l'acier est environ 550°C pour les structures.",0
"L'acier perd sa résistance vers 550°C",1
"La résistance de l'acier à 600°C est environ 30% de sa résistance à froid.",0
"À 600°C, l'acier garde environ 30% de sa résistance",1
"Les calculs de résistance au feu se font selon l'Eurocode 3 partie 1-2.",0
"La résistance au feu se calcule avec l'EN 1993-1-2",1
"La méthode des zones compartimentées est utilisée pour les poutres exposées au feu.",0
"Pour les poutres au feu, on utilise la méthode des zones compartimentées",1
"La température de l'acier est calculée par des méthodes simplifiées ou avancées.",0
"La température dans l'acier se calcule par méthodes simplifiées ou complexes",1
"Le développement durable influence le choix des matériaux de construction.",0
"Le développement durable impacte le choix des matériaux",1
"L'acier est recyclable à 100% sans perte de qualité.",0
"L'acier est 100% recyclable",1
"L'analyse du cycle de vie (ACV) évalue l'impact environnemental des structures.",0
"L'ACV mesure l'impact environnemental",1
"Les structures mixtes acier-béton combinent les avantages des deux matériaux.",0
"Les structures mixtes acier-béton sont avantageuses",1
"La connexion acier-béton est assurée par des connecteurs.",0
"Les connecteurs relient l'acier au béton",1
"Les connecteurs les plus courants sont les goujons soudés.",0
"Les goujons sont les connecteurs les plus utilisés",1
"La résistance d'un goujon est P_Rd = 0.8 f_u π d² / (4 γ_v) pour les goujons ductiles.",0
"Résistance d'un goujon = 0.8 * fu * pi * d² / (4 * gamma_v)",1
"Le coefficient γ_v vaut 1.25 pour les connecteurs.",0
"gamma_v = 1.25 pour les connecteurs",1
"L'effet de levier dans les assemblages peut réduire la résistance.",0
"L'effet de levier dans les assemblages diminue la résistance",1
"Les boulons précontraints sont utilisés pour résister à l'effet de levier.",0
"Les boulons précontraints résistent mieux à l'effet de levier",1
"La rigidité d'un assemblage influence la distribution des moments dans un portique.",0
"La rigidité des assemblages change la distribution des moments dans les portiques",1
"Les assemblages semi-rigides sont modélisés par des ressorts rotatoires.",0
"Pour les assemblages semi-rigides, on utilise des ressorts de rotation",1
"La courbe moment-rotation caractérise le comportement d'un assemblage.",0
"La courbe M-phi donne le comportement d'un assemblage",1
"La classification des assemblages est basée sur leur rigidité et leur résistance.",0
"On classe les assemblages par leur rigidité et leur résistance",1
"Un assemblage rigide doit avoir une rigidité supérieure à k = 25 EI/L pour une poutre.",0
"Assemblage rigide si k > 25 EI/L",1
"Un assemblage ductile peut se déformer plastiquement sans perte de résistance.",0
"Assemblage ductile = peut se déformer plastiquement sans perdre de résistance",1
"La vérification de la sécurité utilise la méthode des coefficients partiels.",0
"La sécurité se vérifie avec les coefficients partiels",1
"La fiabilité d'une structure est mesurée par l'indice de fiabilité β.",0
"L'indice beta mesure la fiabilité",1
"Pour les bâtiments, l'indice cible β est de 3.8 pour les états limites ultimes.",0
"Pour les ELU, beta cible = 3.8",1
"L'approche probabiliste est utilisée pour le calibrage des coefficients de sécurité.",0
"Les coefficients de sécurité sont calibrés par approche probabiliste",1
"Les actions sont modélisées comme des variables aléatoires.",0
"Les charges sont des variables aléatoires",1
"La résistance est également une variable aléatoire.",0
"La résistance est aussi une variable aléatoire",1
"La méthode de Monte Carlo est utilisée pour les analyses de fiabilité.",0
"Monte Carlo sert pour les analyses de fiabilité",1
"L'optimisation des structures cherche à minimiser le poids ou le coût sous contraintes.",0
"L'optimisation cherche à minimiser poids ou coût avec des contraintes",1
"Les algorithmes génétiques sont des méthodes d'optimisation heuristiques.",0
"Les algorithmes génétiques sont des méthodes d'optimisation",1
"La topologie optimale trouve la répartition optimale de matière dans un domaine.",0
"La topologie optimale donne la meilleure répartition de matière",1
"Les structures en treillis sont souvent optimisées par des méthodes itératives.",0
"Les treillis sont souvent optimisés par méthodes itératives",1
"La méthode des éléments finis est couplée à des algorithmes d'optimisation.",0
"On combine éléments finis et optimisation",1
"Le BIM (Building Information Modeling) révolutionne la conception des structures.",0
"Le BIM change la façon de concevoir les structures",1
"Les modèles BIM contiennent des informations géométriques et techniques.",0
"Les modèles BIM ont de la géométrie et des données techniques",1
"L'IOT (Internet of Things) permet le suivi en temps réel des structures.",0
"L'IOT permet de surveiller les structures en temps réel",1
"Les capteurs de déformation et d'accélération sont utilisés pour le monitoring structural.",0
"On utilise des capteurs pour surveiller les structures",1
"L'analyse des données de monitoring permet de détecter les dommages.",0
"L'analyse des données de monitoring détecte les dommages",1
"L'intelligence artificielle est utilisée pour l'interprétation des données de capteurs.",0
"L'IA sert à interpréter les données de capteurs",1
"Les réseaux de neurones peuvent prédire le comportement des structures.",0
"Les réseaux de neurones prédisent le comportement des structures",1
"Le machine learning identifie des motifs dans les données structurales.",0
"Le machine learning trouve des patterns dans les données",1
"La maintenance prédictive utilise l'IA pour anticiper les défaillances.",0
"La maintenance prédictive utilise l'IA pour prévoir les pannes",1
"Les jumeaux numériques sont des répliques virtuelles des structures réelles.",0
"Les jumeaux numériques sont des copies virtuelles des structures",1
